1:11789992-11790944	ttyh3b
1:11827800-11828387	ttyh3b
1:19397630-19398566	lap3
1:19397630-19398566	clockb
1:19664609-19665513	polr1e
1:19664609-19665513	tma16
1:21800101-21801003	zcchc7
1:26161377-26162490	mtap
1:29814559-29815467	raph1b
1:29812662-29813580	raph1b
1:29814559-29815467	zic2b
1:29812662-29813580	zic2b
1:29814559-29815467	pcca
1:29812662-29813580	pcca
1:35930949-35931862	smad1
1:35930949-35931862	mmaa
1:38687772-38688659	gpm6ab
1:40827344-40828236	hmx4
1:40832325-40833308	hmx4
1:40926845-40927749	hmx4
1:40886441-40887345	hmx4
1:40914262-40915151	hmx4
1:40910868-40911714	hmx4
1:40920213-40921112	hmx4
1:40827344-40828236	hmx1
1:40832325-40833308	hmx1
1:40926845-40927749	hmx1
1:40886441-40887345	hmx1
1:40914262-40915151	hmx1
1:40910868-40911714	hmx1
1:40920213-40921112	hmx1
1:5523827-5524794	atic
1:945891-946778	gart
1:899682-900575	gart
1:933173-934106	gart1:29814559-29815467
1:29812662-29813580	raph1b
1:42724522-42725461	ctnna2
1:42589684-42590570	ctnna2
1:42514575-42515482	ctnna2
1:42792377-42793253	ctnna2
